date_received,complaint_id,rand_client,phonefinal,vru_line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time,year,month,day,weekday,service_seconds,start_hour,service_outlier,agent_handled
2017-03-27,CR2406263,4587.0,9778069726,AA0103,34536.0,0.0,NW,Agent,MICHAL,1900-01-01 13:34:11,1900-01-01 13:40:23,0 days 00:06:12,2017,3,27,Monday,372.0,13,False,1
2017-03-27,CR2405641,3328.0,3225987152,AA0205,34537.0,0.0,PS,Agent,TOVA,1900-01-01 10:58:22,1900-01-01 11:16:10,0 days 00:17:48,2017,3,27,Monday,1068.0,10,False,1
2017-03-27,CR2405629,1685.0,5083115237,AA0110,34538.0,2.0,PS,Agent,YIFAT,1900-01-01 13:00:54,1900-01-01 13:13:31,0 days 00:12:37,2017,3,27,Monday,757.0,13,False,1
2017-03-23,CR2400594,1945.0,2653942727,AA0113,34540.0,2.0,PS,Agent,AVNI,1900-01-01 16:18:21,1900-01-01 16:19:40,0 days 00:01:19,2017,3,23,Thursday,79.0,16,False,1
2017-03-22,CR2399607,4303.0,2060080460,AA0102,34541.0,1.0,PS,Agent,STEREN,1900-01-01 14:48:22,1900-01-01 14:55:19,0 days 00:06:57,2017,3,22,Wednesday,417.0,14,False,1
2017-03-22,CR2398621,10209.0,6170609671,AA0203,34542.0,0.0,PS,Agent,ANAT,1900-01-01 09:15:43,1900-01-01 09:32:44,0 days 00:17:01,2017,3,22,Wednesday,1021.0,9,False,1
2017-03-22,CR2398447,4248.0,6177391926,AA0203,34543.0,0.0,PS,Agent,YIFAT,1900-01-01 11:33:16,1900-01-01 11:41:36,0 days 00:08:20,2017,3,22,Wednesday,500.0,11,False,1
2017-03-22,CR2398401,486.0,4787493447,AA0204,34544.0,0.0,PS,Agent,TOVA,1900-01-01 15:05:09,1900-01-01 15:17:45,0 days 00:12:36,2017,3,22,Wednesday,756.0,15,False,1
2017-03-22,CR2398768,2342.0,9948623218,AA0101,34545.0,0.0,NW,Agent,STEREN,1900-01-01 10:19:11,1900-01-01 10:19:57,0 days 00:00:46,2017,3,22,Wednesday,46.0,10,False,1
2017-03-21,CR2397737,3730.0,6171619051,AA0205,34546.0,0.0,PS,Agent,YIFAT,1900-01-01 10:47:11,1900-01-01 10:53:13,0 days 00:06:02,2017,3,21,Tuesday,362.0,10,False,1
2017-03-21,CR2398271,1891.0,9534769580,AA0105,34547.0,0.0,NW,Agent,MIKI,1900-01-01 14:20:21,1900-01-01 14:31:52,0 days 00:11:31,2017,3,21,Tuesday,691.0,14,False,1
2017-03-17,CR2392378,3321.0,2548151076,AA0106,34549.0,1.0,PS,Agent,DORIT,1900-01-01 09:00:11,1900-01-01 09:03:53,0 days 00:03:42,2017,3,17,Friday,222.0,9,False,1
2017-03-17,CR2392249,4218.0,5084959597,AA0102,34550.0,0.0,PS,Agent,AVNI,1900-01-01 12:38:08,1900-01-01 12:42:25,0 days 00:04:17,2017,3,17,Friday,257.0,12,False,1
2017-03-16,CR2391330,4622.0,7164743082,AA0214,34551.0,2.0,PS,Agent,MORIAH,1900-01-01 10:41:54,1900-01-01 10:56:57,0 days 00:15:03,2017,3,16,Thursday,903.0,10,False,1
2017-03-16,CR2391051,4266.0,2129552224,AA0103,34552.0,0.0,NW,Agent,YIFAT,1900-01-01 14:36:47,1900-01-01 14:45:13,0 days 00:08:26,2017,3,16,Thursday,506.0,14,False,1
2017-03-16,CR2391104,375.0,5089066051,AA0102,34553.0,2.0,PS,Agent,TOVA,1900-01-01 14:10:43,1900-01-01 14:23:31,0 days 00:12:48,2017,3,16,Thursday,768.0,14,False,1
2017-03-15,CR2388840,2259.0,8548605683,AA0204,34554.0,2.0,PS,Agent,GILI,1900-01-01 14:31:14,1900-01-01 14:45:46,0 days 00:14:32,2017,3,15,Wednesday,872.0,14,False,1
2017-03-15,CR2388580,3366.0,3563335984,AA0201,34555.0,1.0,PS,Agent,KAZAV,1900-01-01 16:22:51,1900-01-01 16:38:04,0 days 00:15:13,2017,3,15,Wednesday,913.0,16,False,1
2017-03-14,CR2386079,9987.0,2944598475,AA0103,34557.0,2.0,NE,Agent,KAZAV,1900-01-01 11:11:40,1900-01-01 11:20:04,0 days 00:08:24,2017,3,14,Tuesday,504.0,11,False,1
2017-03-10,CR2382372,1401.0,1241612235,AA0201,34559.0,0.0,PS,Agent,YITZ,1900-01-01 10:33:03,1900-01-01 10:34:01,0 days 00:00:58,2017,3,10,Friday,58.0,10,False,1
2017-03-09,CR2376980,3545.0,4722173837,AA0110,34560.0,2.0,PS,Agent,DARMON,1900-01-01 10:21:54,1900-01-01 10:35:22,0 days 00:13:28,2017,3,9,Thursday,808.0,10,False,1
2017-03-08,CR2377263,4301.0,4952497895,AA0215,34561.0,0.0,PS,Agent,SHLOMO,1900-01-01 10:38:34,1900-01-01 10:45:56,0 days 00:07:22,2017,3,8,Wednesday,442.0,10,False,1
